,Program,Degree Level,University,Sponsor,Scholarship,Relatives,Visa Attempt,Visa Result,Id
0,Criminal Justice,,Western Michigan University,Uncle,,Uncle,Second,Refused,0
1,,,,,,,Second (Refusal Category),,1
2,,,DePaul University,Father,Yes,,Refused,,2
3,PhD in Physics,PhD,Purdue University,,Fully funded,No,First,Refused,3
4,Cyber Security,Masters,UD,Uncle,,Uncle,First,Refused,4
5,,,University of Wisconsin Milwaukee,Father,,,Second,Refused,5
6,MBA,Masters,Oklahoma City University,Parents,,Father s,Third,Refused,6
7,,,Saint Cloud State University,Father,Yes,,First,Refused,7
8,Nutrition in Psychology,Masters,Illinois State University,Mother,,,First,Refused,8
9,,,,,,,Second,Previously Refused,9
10,Computer Science,Bachelors,University of Central Florida,,,,First,Refused,10
11,Computer Science,Masters,University of the Pacific,Father,,,Second,Approved,11
12,,,,Father,,,First,Refused,12
13,MBA,Masters,New York Institute of Technology,Father,,,First,Refused,13
14,Data Science,Masters,University of New Haven,Father,,,Second,"Rejected

It's difficult to determine the exact reason for visa refusal without knowing the specific details of the case. However, some general tips for improving your chances of getting a visa approval in the next attempt are:

1. Be confident and honest in your answers.
2. Make sure all your documents are complete and up-to-date.
3. Practice your English language skills, especially speaking and listening.
4. Be prepared to explain any discrepancies or mistakes in your application.
5. Show strong ties to your home country, such as family, job, or property ownership.
6. Have a clear plan for your studies and future career goals.
7. Address any concerns raised in the previous interviews, such as the mistake in your address or the reason for choosing a particular university.
8. Consider getting professional help from an immigration lawyer or visa consultant.",14
15,Technology Management,Masters,University of Massachusetts Dartmouth,,,,First,Refused,15
17,Marketing,Bachelors,St Louis University,Father,,"2 brothers, 2 sisters",Second,Refused,17
18,Information Technology,Bachelors,,Father and,14000 USD per year,One younger brother,Second,Refused,18
19,Mechanical Engineering,Masters,,Father,Yes,,First,Refused (221(g)),19
20,,,,,,Sister,First,Refused,20
21,,,,,,,Second,,21
22,Business Administration and Management,Bachelor's,Troy University,Father,,,Second,Refused,22
23,Computer Science,Masters,,,,,Second,Refused,23
24,Biotechnology,Masters,Texas Tech University,Loan and waivers,Yes,,First,Refused (221g),24
25,BSCS,,St. Cloud State University,Father,"$7,906 ",N/A s,3,Rejected,25
26,IELI,,University of North Texas,Brother-in-law and Mother,,Sister,First,Refused (214b),26
27,MS Finance,Masters,Illinois Institute of Technology,,Merit Scholarship,,2nd,Refused,27
28,Engineering Management,Masters,St. Cloud State University,Self and Father,,Brother,First,Refused,28
29,,,University of Alabama Huntsville,,,,First,Refused,29
30,PhD Computing and Information Sciences,PhD,,Fully funded scholarship,Yes,,First,Refused (221g),30
31,Computer Science,Bachelors,Missouri State University,Father,,,Second,Refused,31
32,,,Full Sail University,Father,,,First,Refused,32
33,Biology,Masters,Rutgers University,Brother,,Brother and Parents,First,Refused,33
34,Computer Software Technology,,,Father,,Brother,First,Refused,34
35,Computer Science,Masters,DePaul University,,,,First,Refused,35
36,Public Administration,Masters,LU,Father,,No,First,Refused,36
37,MBA,Masters,University of Bridgeport,Husband,Yes,,First,Refused,37
38,Bachelor,,Miami University,,,,2ndAttempt,Refused,38
39,,,,Father,,,Second,Approved,39
40,Food Technology and Processing,,Minnesota State University Mankato,Mother,,,First,Refused,40
41,,,,,,,Third,,41
42,,,,,,,First,Refused/221g/Administrative Processing,42
43,,,,,,,Second,Refused (previous attempt),43
44,MS Marketing with concentration of Data mining,Masters,USF,,,,Third,Refused,44
45,Physics PhD,PhD,Georgia State University,,Fully Funded,Brother,First,Refused,45
46,,,,Husband,,,Third,Refused,46
47,PhD in Mathematics,PhD,RPI,,Fully Funded,,First,Refused,47
48,International Business,Bachelors,Minnesota State University,Mother,,,First,Refused,48
49,Data Sciences,Masters,XYZ University,,,,Second,Refused,49
51,Engineering Management,Masters,Westcliff Irvine,Father,,,Second,Refused,51
52,Computer Science,Bachelors,Tennessee Tech University,Father,,,First,Refused,52
53,Computer Science,,,,,,First,Refused,53
54,MS in Information Technology,Masters,Gannon University,Father,,,Second,Refused,54
55,MSBA,Masters,Southern Methodist University,,Yes,,Third,,55
56,Business Management,Bachelors,,Father,,,Second,Refused,56
57,Computer Science,,University of Alabama,Parents,,,Second,Refused,57
58,Business Administration,Bachelors,Murray State University,Father,,,Second,Refused (first attempt),58
59,Computer Science,Bachelors,University of Illinois at Chicago,Father,,,First,Refused,59
60,,,,,Full,Brother,First,Refused,60
61,Electrical and Electronics Engineering,Masters,Lamar University,,Out of state waiver,,First,Refused (214b),61
63,MBA Entrepreneurship,,Bay Atlantic University,Father,35% Annual,,Third,Refused,63
64,,,Westcliff University,,,,Second,Refused,64
65,Civil Engineering,,University of Illinois Urbana Champaign and University of Texas Arlington,,,,Second,,65
66,,,Adelphi University,,,,,,66
67,,,,,,,,Refused,67
68,Electrical and Computer Engineering,Masters,Illinois Institute of Technology,,,,First,Refused,68
69,,,Texas A&M University Corpus Christi,SAME,,,Second,Refused,69
70,Health Care Administration,Masters,University of Potomac,Aunt,,Aunt,Second,Refused,70
71,Computer Science,Bachelors,San Francisco State University,Father,,,First,Refused,71
72,Business Analytics,Masters,Mercer University,Self,,Father,First,Refused,72
73,,,,,,,Previous Visa Refusal,N/A (not mentioned if the visa was approved or refused this time),73
74,,,,,,,First,Refused (status unclear),74
75,Flight Training,,,Father and Cousin,,,2nd,Refused,75
76,Big Data Analysts,Masters,Bay Atlantic University,,,Elder Brother,First,Refused,76
77,ECE,BS,SIUE/Purdue Northwest,Father,8K/year (SIUE),Uncle (previous attempts),Third,Refused (previous attempts),77
78,BBA in Business Management,Transfer Student,,,,,First,Refused,78
79,Engineering Management,Masters,,Landlord/Business Owner,,,First,Refused,79
80,Environmental Studies,Masters,Lamar University,Father,,,First,Refused,80
81,Architecture,,Tacoma Community College,,,,First,Refused,81
83,Information System,Bachelors,Adelphi University,Father,,,First,Refused,83
84,Business Administration and Management,Masters,Webster University,Father,,No,Second,Refused,84
85,Industrial Engineering,Masters,University of Houston,Self and Father,,,First,Approved,85
86,Transportation,,University of Washington Seattle,Father,,Yes,First,Approved,86
87,Civil Engineering,Masters,Purdue,,,Aunt,First,Approved,87
88,MS Finance,Masters,University of Houston,Father,Yes,,First,Approved,88
89,PhD,PhD,Idaho State University,,Fully funded,,First,Approved,89
90,Nursing,Bachelors,Central Michigan University,Mother,50%,No,First,Approved,90
91,,,,,Fully Funded,,First,Approved,91
92,CS,MS,TU,and Student Loan,Yes,,First,Approved,92
93,Physics,PhD,Oklahoma State University,,Fully funded,No,Second,Approved,93
94,Business Administration,Bachelors,,Parents and Uncle,Yes,Yes,Second,Approved,94
95,Public Health (Epidemiology),Masters,,Parents,,Elder brothers in UK and Australia,First,Approved,95
96,Computer Science,Undergraduate,University of Connecticut,Father,Yes,,First,Approved,96
97,Information Technology,Masters,University of Cumberlands,Brother,,"Brother, 2 sisters",First,Approved,97
98,Phd Environmental Science,Phd,University of Idaho,Father,University and Professor,,First,"Refused (initially), Approved (after further questioning)",98
99,Masters,,,Self-funded,,,,,99
100,,,,,,,,Approved,100
101,CS,Masters,Western New England,Father,,,First,Approved,101
102,Construction Management,Masters,University of North Texas,Father,,,First,Approved,102
103,CS,,USF,,"12,000 USD",Father,First,Approved,103
104,MBA in Marketing,Masters,New Mexico Highland University,Uncle,,Brother,First,Approved,104
105,Business,Bachelors,,Father,,,Third,Approved,105
106,,,,,,,First,Approved,106
107,PhD Computer Science,PhD,Stony Brook,Fully Funded,Yes,,First,Approved,107
108,Business Administration,Bachelors,University of South Alabama,Father,,Sister in Spain,Third,Approved,108
109,Business Analytics,MS,,,,Yes,First,Approved,109
110,Mechanical Engineering,Masters,University of Cincinnati,Father,$20k,,First,Approved,110
111,Public Health,Masters,University of New Haven,Father,,,First,Approved,111
112,Computer Science,Masters,George Washington University,Father,"$37,000 ",Uncle,First,Approved,112
113,Computer Science,Bachelor's,Georgia State University,Told,,,First,Approved,113
114,Computer Science,Bachelors,Minnesota State University Mankato,Father,Yes,,First,Approved,114
115,Business Studies,Bachelors,Rhodes College,Father,Yes,Father,First,Approved,115
117,,,Drexel University,Father,,No,First,Approved,117
118,Cinematography and Film/Video Production,Bachelor's,University of Missouri-Kansas City,Father,,Sister,First,Approved,118
119,Agricultural and Applied Economics,Masters,University of Illinois Urbana Champaign,Professor,Fully funded,,First,Approved,119
121,BBA,,Westcliff University,Father,,No,First,Approved,121
122,Hospitality Management,Masters,Iowa State University,Mother,,Mother,First,Approved,122
125,Computer Science,Masters,DePaul University,Parents,,Two sisters,First,Approved,125
126,Data Science,,Stevens Institute of Technology,and Student Loan,Yes,No,First,Approved,126
127,Undisclosed,Bachelors,University of Kansas,Father,Yes,Yes,First,Approved,127
128,Masters,,Top 20 Grad Program,Uncle and Aunt,Dean's Scholarship,Uncle and Aunt,Third,Approved,128
129,International Business,BS,"University of Minnesota, Mankato",Father,$8k,Brother,First,Approved,129
130,Computer Science PhD,PhD,"University of California, Davis",Father,Fully funded,,First,Approved,130
131,Civil Engineering,Masters,Texas Tech University,Father,50%,,First,Approved,131
132,Civil Engineering,Masters,Lamar University,Father,Merit-based,,First,Approved,132
133,Power Engineering,Masters,IIT Chicago,Father,,"2 Brothers, 2 Sisters",First,Approved,133
134,Energy Systems,Masters,Illinois Institute of Technology,Father,,,First,Approved,134
135,,,Union College,Father,Yes,Yes,First,Approved,135
136,Master's,,ABC University,XYZ,,,First,Approved,136
137,"Aerospace Engineering (Pathway+Bachelors), Mechanical Engineering (Bachelors)",Bachelors,"Wichita State University, Indiana Institute of Technology",Father,"$13,000 ",No s,4,Refused,137
138,Civil Engineering,Graduate,University of Alabama,Father,Graduate Assistantship,,First,Approved,138
139,Computer Science,Bachelor's,University of Massachusetts Amherst,Father,Yes,Yes,First,Approved,139
140,Agriculture,Bachelor,Southwest Minnesota State University,Father,,,2nd,Approved,140
141,Biomedical Engineering PhD,PhD,The Ohio State University,Research Associate Position,Fully Funded,,First,Approved,141
142,Civil Engineering,Masters,University of Texas at Austin,Uncle,,Uncle,First,Approved,142
143,Engineering Education PhD,PhD,State University of New York at Buffalo,,Fully funded,,First,Approved,143
144,Information Systems,Masters,Cleveland State University,Mother,,,First,Approved,144
145,Computer Science,Bachelors,University of Southern Mississippi,Father,100% tuition scholarship,No relatives in US,First,Approved,145
146,Civil Engineering,MS,,Father,Research Assistantship,,First,Approved,146
147,Differential Equations,,Harvard,Self,,,First,Approved,147
148,,,Cleveland State University,Cousin,,,First,Approved,148
149,Computer Science,Bachelors,Rhodes College,Father,40k,,First,Approved,149
150,Electrical,MS,University of Missouri Kansas City (UMKC),Father,,Maternal Uncle,First,Approved,150
151,Data Analytics,Masters,New Mexico State University,Father,,Brother,First,Approved,151
152,MSBA,,XYZ University,Father,Yes,Aunt,First,Approved,152
153,Professional Accountancy,Masters,,Father,,Yes,First,Approved,153
154,Project Management,Masters,"Northeastern University, Boston",Father,,,Second,Approved,154
155,PhD in Curriculum and Instruction within Science Education,PhD,Virginia Tech,,100% assistantship,,First,Approved,155
156,,Master's,"University of California, Davis",Father,,,First,Approved,156
157,Chemical and Biomolecular Engineering,PhD,,,,,First,Approved,157
158,Engineering (Civil),Masters,,,Graduate Assistantship,,First,Approved,158
159,Civil Engineering,Masters,University of Dayton,Father,,Yes,First,Approved,159
160,Masters,Masters,UT Dallas,Prodigy,Yes,,,,160
161,Business Administration,Bachelors,DePaul University,Cousin,,,First,Approved,161
162,Observership,,,Father,,,First,Approved,162
163,,,,Applicant,,Spouse and Children,First,Approved,163
164,Computer Science,Bachelor,University of Illinois,Father,,2 brothers and 2 sisters,Third,Approved,164
165,,,Indiana Institute of Tech,Father's business,,,First,Approved,165
166,MBA,Masters,,Father,,,First,Approved,166
167,Business Analytics,Masters,Mercer University,Father,,,First,Approved,167
168,Economics,Masters,George Mason,Father and Brother-in-law,,Sister,First,Approved,168
169,Civil Engineering,Masters,Texas Tech University,Mother,50%,No,Second,Approved,169
170,MS Biological Sciences,Masters,New Mexico Highlands University,Father,,,First,Approved,170
171,,,Penn State,,Full tuition scholarship,,Second,Approved,171
172,Computer Science,Masters,DePaul,Parents,,,First,Approved,172
176,PhD in Physics,PhD,Purdue University,,Fully funded,No relatives in USA,First,Refused,176
237,,,Westcliff University,,,,Second,Refused (214B),237
241,Business,Bachelors,Illinois University Carbondale,Father,,,First,"Refused

N/A (for the appointment question)",241
247,,,,,,,Previous Refusal,N/A (not mentioned if the visa was approved or refused this time),247
251,ECE,BS,SIUE/Purdue Northwest,Father,8K/year (SIUE),Uncle,Third,Refused,251
252,BBA,Bachelor,,,,,First,Refused,252
260,MS/MBA,,,,,,Second,Rejected,260
261,CS,Masters,Florida State University,Brother,,Brother,First,Rejected,261
262,English Course (Pathway),,Oregon State University,Cousin,,Cousin,First,Rejected,262
263,,,,,,,First,Rejected,263
265,"Data Science, Data Analytics, Business Analytics, Computer Science",Masters,,,,,,,265
266,MS Project Management,Masters,Boston,Father,,,Second,Refused,266
269,MBA,,"NYIT, Manhattan Campus",,,,First,Rejected,269
270,,,Louisiana Tech University,,,,First,Rejected,270
271,Doctorate in Business Administration,PhD,Westclift University,Self and Father,,,First,Rejected,271
273,Business Analytics,Masters,Hofstra University,Parents,,,First,Rejected,273
274,MS in Java,Masters,MIU,Self-finance,,Father,First,Rejected,274
275,Business Administration,Bachelors,University of Utah,Family,"$35,000 ",,First,Rejected,275
278,Computer Science,Masters,RU,Inheritance and Personal Funds,,,First,Rejected,278
279,MCS,,Cleveland State University,Self,,Father,First,Rejected,279
280,Computer Science,,,Father,Yes,Yes,Second,Rejected,280
281,,,FIU,Uncle,,Uncle,First,Rejected,281
282,Computer Science,Masters,Westcliff University,Father,,,First,Rejected,282
283,,,,,,Husband,3,Rejected,283
284,,,DePaul,,50%,,2,Rejected,284
285,MS Business Analytics,Masters,Brandeis,,,,First,"Refused

When can they reapply for the F1? - N/A (Need to check the reason for refusal)
Is applying after 24 hours too soon? - N/A
If so, how long should they wait? - N/A
What can they change in the application? - N/A (Need to check the reason for refusal)",285
287,Computer Science,Bachelors,,Father,65%,Brother (deceased),First,Rejected,287
288,,Bachelors,Westcliff University,Father,,,First,Rejected,288
289,MBA in Global Affairs,Masters,Bay Atlantic University,Father,,,First,Rejected,289
290,,,,,,Brother,Second,,290
291,,,,,,,,,291
292,Software Engineering,Bachelors,University of Arizona,Mother,,,First,Rejected,292
293,,,,,,,Second (assumed),Rejected,293
294,Fashion Design and Merchandise,Diploma,Los Angeles Community College,Husband,,,First,Rejected,294
295,Data Science and Analytics,Masters,Grand Valley State University,Father,,,Second,Rejected,295
296,Computer Science,Bachelors,Queens College CUNY,Father,,,First,Rejected (214b),296
297,MS Data Science -> Masters in Business Analytics,N/A (Assuming it's still Masters),Minnesota State University -> University of Dayton,Brother -> Father,,Sister on J-1 visa,Second,,297
298,CIS,BS,Eastern Illinois University,Father,Partial,,First,Rejected,298
299,Computer Science,Masters,University of Dayton,Father,Yes,,First,Rejected (214b),299
301,Business Administration and Management,Bachelors,Missouri State University,Father,,,Second,Rejected,301
302,MBA,,University of North Texas,Father,,,First,Rejected (214b),302
303,Physics,Bachelors,University of Wisconsin Milwaukee,Father,,,First,Rejected,303
304,Business,Bachelors,Murray State University,Father,,,First,Rejected,304
305,Business Administration,Bachelors,Whittier College LA,Father,,,Second,Rejected,305
306,Quantitative Risk Analysis & Management,Masters,Georgia State University,Father,Full-tuition wavier and GRA,,First,Rejected (214b),306
307,Computer Sciences,Undergraduate,DePaul University,Father,52% scholarship at DePaul,No other relative,First,Rejected,307
308,Computer Science,Bachelors,Washington State University,Father,,Brother,First,Rejected,308
309,MS Engineering (Electrical),Masters,Saint Louis,Global Graduate  Program,7000$,,First,Rejected,309
310,Computer Science,Bachelors,,,,,Second,Rejected,310
311,MBA with Healthcare Management Specialization,,Concordia University Chicago,Uncle,,Uncle,Third,Rejected,311
312,Cyber Security,Associates,,Father,,,Second,Rejected,312
313,,,,Family,,,Australia and Canada,"Rejected. For F1 visa, N/A.",313
314,Mechanical Engineering,MS,Georgia Southern University,Self,Yes,Friend,First,Rejected (214B),314
315,International Business,Bachelors,Minnesota State University Mankato,Father,,,First,Rejected,315
316,Management Information Systems,Masters,University of Illinois Springfield,Father,,,First,Rejected,316
317,MBA with concentration in IT,Masters,University of the Potomac,Father,50%,,First,Rejected,317
318,Information Systems,,Adelphi University,Mother,,,First,Rejected,318
319,Computers and Information Technology,Bachelors,"Alfred University NY (1st attempt), Palm Beach Atlantic University FA (2nd attempt)",Father,,No relatives in US s,2,Rejected,319
320,Film,Masters,Chatham University,Father,,,First,Rejected,320
321,,,,Father,Yes,,Second,,321
322,Engineering Management,Masters,Indiana Institute of Technology,Uncle,,Uncle,Second,,322
323,Masters,,,,100%,,2,Rejected,323
324,Economics and Business Administration,Undergraduate,,,,,2nd,Rejected,324
325,HR Management,Masters,Northeastern University,Father,,Brother,First,Approved,325
326,Business Administration,Bachelors,Youngstown State University,Uncle,,Uncle,First,Rejected,326
327,,,,Self,,No,First,Rejected,327
328,Computer Science,Bachelors,St. Thomas University,,70%,,First,Rejected,328
329,,,,Father/Uncle,,Uncle,Second,,329
330,MBA,,University of Maine,Uncle,Trustee Tuition Scholarship,Uncle,Second,Rejected,330
331,Business Administration,Bachelors,University of South Alabama,Brother,,,Third,Refused,331
332,,,Southern Illinois University/South Dakota State University,,,,Second,Pending,332
334,M.A Higher Education in Academic Advising,Masters,Rowan University NJ,Father,,,First,Rejected,334
336,,,,,,Cousin,First,Rejected,336
337,ESL and Computer Science,Bachelors,University of Kentucky,Father,,,First,Refused,337
338,Chemistry,Bachelors,Minnesota State University Mankato,Father,"$7,700 ",,First,Rejected (214B),338
339,Business Management,Bachelors,,Uncle,,,First,Rejected,339
340,Masters in CS,Masters,Maharishi International University,Self,,,First,Refused,340
345,,,UT Arlington,,,,,,345
346,Masters,F1,,,,,Third,,346
348,Chemistry PhD,PhD,Boston University,,Fully funded,,First,Approved,348
350,Industrial Engineering,,"Southern Illinois University, Edwardsville",,$15000 for 2 years,,,,350
351,,,,,,Uncle,Fourth,Approved,351
352,Nutrition,PhD,University of Minnesota,HEC,Yes,,First,Accepted,352
353,MS(IT),Masters,Westcliff,,,,First,"Refused

As an AI language model, I cannot provide personal opinions or recommendations. However, it is important to answer truthfully and confidently during the visa interview. If you feel that your answer was not clear or convincing enough, you can try to improve your explanation. Changing universities may or may not improve your chances of getting a visa, as it depends on various factors. It is recommended to research and choose a university that has a good reputation and acceptance rate for international students.",353
355,Software Engineering,Masters,,Father,$41k/year,Brother studying in Italy,Second,Refused,355
356,Economics,Undergraduate (Bachelors),"Miami University in Oxford, Ohio",Parents,Automatic,,First,Approved,356
357,Masters in Civil Engineering,Masters,Texas Tech,Father,,"Elder brother, younger sister",Fourth,Approved,357
360,Computer Science,Masters,,,,Parents and younger sibling,First,Refused,360
361,Chemistry,Bachelors,,Father,"$10,000 per year",,First,Refused (214b),361
363,Food and Nutrition,MPhil,University of Minnesota,HEC and University,Fully Funded,,First,,363
366,,Bachelors,University of Kansas,Father,36k,Father,First,Approved,366
369,Data Science,Masters,"Illinois Institute of Technology, American University Washington DC, Florida Atlantic University, University of the Pacific California",,,,,,369
371,IT,Bachelors,,,,,Second,Rejected,371
372,Physical Education and Nutrition,,Adelphi University NY,,,,,,372
377,Training Session,,,Self,,,First,Approved,377
378,Academic Intensive English,,Salem University,Brother,,,First,Approved,378
379,Computer Science Engineering,PhD,University of North Texas Denton,,,,First,Approved,379
380,,,,,,,First,Administrative Processing (221g),380
381,Engineering Management,Masters,Central Michigan University,Father,,,Third,Refused,381
382,Business Administration,Bachelors,Williamson College of Business,Father,,,First,Approved,382
387,Doctor of Business Administration,Doctorate,Westcliff University,,,,First,Refused (214(b)),387
390,,,New York Institute of Technology,Father,,,Second,Refused,390
392,MS Business Analytics,Masters,DePaul University,Father,Yes,Brother,First,Approved,392
394,,,Central Michigan University,Father,,,First,Refused,394
395,BS Industrial Engineering,,"University of Illinois at Chicago, University of Dayton, Auburn University, University of Central Florida, University of the Pacific",,,,Canada study visa refused,,395
396,Biological Sciences,BS,University of Arizona,Father,,,First,Refused,396
397,Business Analytics,,UMass Boston,Father,,,First,,397
398,Doctorate,,,,,,First,Approved,398
400,Mechanical Engineering,Bachelors,Indiana Institute of Technology,Father,"$13,000 ",N/A s,Fourth,Refused,400
401,Engineering,Masters,,,,,First,Approved,401
404,BSCS,,NYU,Father,,,First,Approved,404
406,,,,,,,First,221(g) Administrative Processing,406
