Program,Degree Level,University,Sponsor,Scholarship,Relatives,Visa Attempt,Visa Result,Id
Cinematography and Film Production,,,Father,Yes,,Second,Approved,278
Business Administration,Bachelors,University of South Alabama,Brother,,,3,Refused,279
SCM,Masters,,Father,,,First,Refused,280
,,,,,,First,,281
Mechanical Engineering,Masters,University of Dayton,Father,,No,First,Approved,282
F2 Visa,,,,,,First,Administrative Processing,283
MS Computer Science,Masters,Not mentioned,Father,Yes (Assistantship),,First,Approved,284
PhD,,,,,,First,Refused,285
Chemical Engineering PhD,PhD,University of Massachusetts Amherst,Assistantship,,,First,Approved,286
PhD,,,Funded position/HEC,Yes,,First,Administrative Processing (AP),287
Computer Science,Bachelors,University of Illinois at Chicago,Father,,No,First,Approved,288
,,University of Louisiana at Monroe,,90%,,First,Refused (221g),289
Physics,PhD,Texas Tech University,,,,First,AP (221g),290
Information Technology,Masters,Gannon University,,,,First,Refused,291
Engineering,Masters,,Uncle,,No,First,Refused,292
MS BA,Masters,USF,Father,,,First,Approved,293
,,South Dakota State University,,,,First,,294
MSBA,Masters,"WP Carey (Arizona State University), Utah, Umass Amherst",,,,,,295
Transportation Engineering,Masters,University of Washington,Father,,Uncle,First,Rejected,296
Business Analytics,Masters,Mercer,Self,,,First,Approved,297
Nursing,BS,Pace University,Father,,,Third,Refused,298
Masters,,,,,,First,Refused,299
Business Analytics,Masters,Mercer University,Father,,No,First,Approved,300
Computer Science,,UMass Boston,Father,,,Second,Refused,301
Career Counseling,Master's and Specialist,Florida State University,Uncle,Assistantship,Uncle,First,Approved,302
,,,,Yes,,,,303
Computer and Information Sciences,Masters,Adelphi University,Father,,Brothers,Second,Refused,304
Industrial Engineering,Masters,Texas A&M University,Parents,,Sister,First,Approved,305
PhD,F1,,,Funded,,First,,306
Energy Management,Masters,New York Institute of Technology,,,Father,First,Rejected,307
,,DePaul University,Employer,,,First,Refused,308
J-1 Visa,,,,,,Second,Refused,309
,,,Uncle,,Uncle,Second,Approved,310
,,,,,,Second,Refused,311
Health Sciences,Bachelor's,Texas A&M University,Father,,Uncle,First,Approved,312
Computer Science,Masters,DePaul,,,,,,313
HealthCare Analytics,Masters,Robert Morris University,Father,,Younger sister,Third,Approved,314
,,,,,,First,Refused (221g),315
Computer Science,Masters,University of Bridgeport,,Yes,,First,Refused,316
Bachelors,Bachelors,,,,,First,Approved,317
J1,,,,,,First,Refused (pending administrative processing),318
Undergrad,,T-50 university,,80,,First,Approved (but under administrative processing),319
Autonomous Systems & Robotics,,Illinois Institute of Technology,Father,$7k per semester,,First,Refused,320
Mechanical Engineering,Masters,,,,Sister,First,Approved,321
Peace and Conflict Studies,Masters,"Rutgers University, Newark",Father,,,First,Refused,322
Business Administration,Bachelor,North American University,Parents,Yes,,First,Refused,323
,,Iowa State University,Father,,Brother,First,Rejected,324
,,,Family,,Brother in USA,First,Approved,325
Engineering Management,Masters,,Father,,Family in Saudi Arabia,First,Approved,326
Hospitality Management,Baccalaureate,South Dakota State University,Father,,,First,Approved,327
Masters in Peace and Conflict / Masters in Political Science,Masters,Rutgers-Newark / University of South Florida,Self / N/A,,,,,328
Engineering Management,Masters,Gannon University,,,,First,Refused,329
MPA,Masters,University of Alabama,,,,First,Rejected,330
Health Care Management,Masters,,,,,First,Refused,331
Business Administration,Masters,University of New Haven,Xyz,,,First,Approved,332
PhD,PhD,Oregon State University,Fully Funded,Stipend + Graduate Assistantship,,,,333
Electrical and Computer Engineering,Bachelors,University of Arizona,Father,,No,Second,Approved,334
Graduate Program,Masters,Bard College,Self,Yes,,,,335
Double Major in Economics and Business Administration,Undergraduate,University of South Dakota,Father,Partial Scholarship,,Second,Rejected,336
Structural Engineering,MSc,University of Texas at Austin,Uncle,,Uncle,First,,337
,,Cleveland State University,,,,2,Refused.,338
Public Affairs,Masters,"Indiana University, Bloomington",,Yes,Yes,First,Approved,339
Computer Science,Masters,MIU,Self,,,First,"Rejected

To improve in the second attempt, you should provide more concrete reasons for choosing the university and the course. You should also provide a more detailed plan for how you will pay for your education and living expenses. Listing yourself as the sponsor is not necessarily a weak point, but you should be prepared to provide evidence of your financial ability to support yourself during your studies.",340
Public Administration,Masters,Central Michigan University,,,,First,Refused,341
Computer Science,Bachelors,Adelphi University,,,,Second,Refused,342
Computer Science,Masters,Canada and America,Fully Funded,Yes,,,,343
,,University of Central Oklahoma,Father,,,Second,Refused,344
Marketing,Bachelors,DePaul University,Father,Yes,,First,Approved,345
,,UIC,Father,,,First,Refused,346
Electrical Engineering,Masters,"California State University, Northridge",Brother-in-law,Yes,Father (deceased),First,Refused,347
Civil Engineering,PhD,University of Kansas,,Yes,,First,Approved,348
,,,,,,Fourth,Refused,349
,,,,,F2,First,Refused,350
,,,,Full scholarship,Brother,First,Refused,351
,,,,,,,Pending,352
MBA,,,Self,Financial Aid,No,First,Approved,353
Computer Science,Bachelors,Rhodes College,Father,40k,Brother,First,Approved,354
Criminal Justice and Law Enforcement Administration,Masters,University of North Alabama,,,,First,Approved,355
F2,,,,,,First,Administrative Processing (AP),356
MSCS,Masters,,,,,2,Refused,357
PhD,,University of Florida,Fully Funded,,Spouse,,,358
IT,Masters,Pace University,Father,Yes,No,Second,Approved,359
Civil and Environmental Engineering PhD,PhD,Rowan University,Graduate Assistantship/Fellowship,Yes,,First,Approved,360
PhD,PhD,Told,University,Fully funded,,Renewal,AP 221g,361
MBA,,Kentucky State University Frankfort,Parents,,,Second,Refused,362
Computer Science,Community College,Highline College,,,,First,Rejected,363
Human Resource Management,Masters,University of Texas at Arlington,Uncle,,Father's sister's husband,Second,Approved,364
Master,,Saint Paul State University,Self,,Cousin,First,Rejected,365
Postdoctoral Research,,,University,,,First,221(g) Refusal,366
,,,,,,Third,Approved,367
Civil Engineering,Masters,University of Texas at Arlington,,,Brother on F1 Visa,Second,Approved,368
Civil Engineering,Masters,Lamar University,Father,Merit,,First,Approved,369
Bachelors,,"University of Alabama, La Roche University",Uncle,14k USD per year,Uncle,Third,,370
Computer Science,Bachelors,Queens College NY,,,Brother,Second,Refused,371
F2 Visa,,,,,,First,Rejected,372
Flight School,,,Father and Cousin,,No,2,Refused,373
Electrical Engineering,Masters,,Father,Yes,No,First,Approved,374
Masters,,,Husband,,Father-in-law,First,Refused,375
MPA,Masters,University of Michigan-Flint,Uncle,,Uncle,First,Refused,376
,,,,Fully funded or strong financial sponsorship,Immediate family members,,,377
Business,Bachelors,South Dakota State University,Father,,,First,Refused,378
Business Administration and Management,Bachelors,Minnesota State University,,,,First,Refused,379
Law,Masters,University of California Davis,Father,,,First,Administrative Processing (Blue Slip),380
Civil Engineering,Masters,Virginia Tech,Father,,Extended family,First,Approved,381
Mechanical Engineering,Masters,University of New Haven,,Pending,,,,382
,,,Father,41k$,Brother,First,#VisaRefused,383
Masters,Masters,Bard College,Self,Partial Financial Aid,,,,384
Computer Sciences,Bachelors,University of Pacific,Father,,"Paternal Uncle, Grandparents, Dada Abu, Dado Ami",Second,Refused,385
,,,,,Wife,First,Refused,386
Computer Science with Information and Communication Technology,Masters,Old Dominion University,Uncle,,Brother-in-law,Second,Refused,387
Structural Engineering PhD,PhD,Caltech,,Fully funded,,First,Approved,388
MS Digital Supply Chain Management,Masters,California State Uni Pomona Campus,Father,,,Third,Refused,389
,,,,,,,Administrative Processing,390
,,,,,Friend,First,Refused,391
Mech and Aerospace Engineering,,,Father,,,First,Approved,392
PhD,,University of Kentucky Lexington,,,,,,393
Postdoc,,"University of Washington, Seattle",Postdoc Supervisor,,Spouse and Toddler,First,Approved,394
Ph.D.,,Michigan State University,,Fully Funded,,First,Administrative Processing,395
MS Civil Engineering,Masters,"University of Washington, North Carolina State University, Iowa State University",,,,,,396
N/A (not mentioned),N/A (not mentioned),Mississippi State University,Father,100%,,N/A (not mentioned),N/A (not mentioned),397
CS,Bachelors,USF,Family,12k USD/year,,,,398
Computer Science,Bachelors,Adelphi University,Father,,Mother,First,Refused,399
MBA,Masters,"Cornell, University of Texas Austin Mccombs, Michigan Ross",,,,,,400
Computer Science,Bachelors,Minnesota State University Mankato,Father,45%,,First,Approved,401
PhD,Doctoral,Oregon State University,University,Yes,,First,,402
Mechanical Engineering,Masters,Cleveland State,Father,,,Second,Refused,403
Mechanical Engineering,Masters,University of Pennsylvania or University of Illinois at Urbana Champaign,,,,,,404
Computer Science,Masters,Maharishi International University,Self,Yes,,First,Refused,405
,,,,,Engaged to US Citizen,First,Rejected,406
,,,,,,,Refused/Unknown,407
Exchange Visitor Research,,University of Michigan Ann Arbor,HEC,Fully funded,Distant relatives and husband's brother in US,First,Approved,408
MBA,,,Father-in-law,,,First,Rejected,409
Business,F-1 Univsersity,Hult International Business School,,,,First,Approved,410
Pathway,,UCF,Brother,,,Second,Refused,411
General Studies,,Loyola,,,,First,Approved,412
Computer Science,Bachelors,Queens College NY,,,,Second,,413
Psychology PhD,PhD,Not mentioned,,,,First,Approved,414
Computer Science,Masters,University of North Carolina Charlotte,Father,,,First,Rejected,415
,,,Self,,No,First,Refused,416
Economics,,Illinois State University,,,,First,Approved,417
Engineering,Masters,University of Cincinnati,Father,20k,,First,Approved,418
Business,Masters,University of Cincinnati,Father,20k,,First,Approved,419
Information Technology,Masters,University of Cincinnati,Father,20k,,First,Approved,420
Physics,PhD,University of Cincinnati,University,Assistantship,,First,Approved,421
Civil Engineering,Masters,Arizona State University,Father,,,First,Refused,422
Engineering,Masters,University of Houston,Father,,,First,Approved,423
MBA,Masters,Gannon University,Self,,,First,Refused,424
Chemical and Biomolecular Engineering,Masters,North Dakota University,,Assistantship,,First,Approved,425
Electrical Engineering,Masters,University of Southern California,,10%,,First,Approved,426
Computer Science,Bachelors,Dayton University,Father,,Brother,Second,Refused,427
Pharmacy,Bachelors,SDSU,Father,,,First,Refused,428
Computer Science,Masters,City University of Seattle,Father,,N/A s,First,Refused,429
,,,Father,Yes,,Second,Refused,430
MBA with concentration in Business Analytics,Masters,University of Dallas (UD),Sister,,"Sister
s","First
Visa Status",Refused,431
Business Administration and Management,Masters,LIU Brooklyn Campus,Father's Elder Brother,,Uncle,First,Refused,432
Doctorate of Business Administration,PhD,,Self,,,First,Refused,433
Cyber Security,Masters,UD (University not specified),Uncle,,Uncle,First,Refused,434
MSBA,Masters,University of Hartford,Father,"$4,000 ",No s,First,Refused,435
Computer Science,Bachelors,University of Central Florida,,,N/A s,First,Refused,436
,,,,,Brother and nephews,First,Refused,437
Cyber Security,Bachelors,Arkansas Tech University,Self,,N/A s,First,Refused,438
Computer Science,Masters,University of the Pacific,Father,,N/A s,Second,Approved,439
Computer Software Technology,,,Father,,"Brother
s",First,Refused,440
Computer Science,Masters,Maharishi International University,,,,First,Refused,441
Computer Science,,Saint Louis University,Parents,Yes,Uncle,First,Refused,442
Accountancy,Bachelors,DePaul University,Father,Yes,N/A s,Second,Refused,443
Computing and Information Sciences,PhD,,Fully funded PhD scholarship,Yes,,First,Refused,444
Computer Science,Bachelors,Missouri State University,Father,,N/A s,Second,Refused,445
Mechanical Engineering,Masters,,Father,Yes,,First,Refused,446
Computer Science,Bachelors,University of Illinois at Chicago,Father,,N/A s,First,Refused,447
BSCS,Bachelors,St. Cloud State University,Father,Yes,N/A s,3,Rejected,448
Data Science,Masters,University of New Haven,Father,,N/A s,Second,Refused,449
Finance,Masters,Illinois Institute of Technology,,Yes,N/A s,Second,Refused,450
Master's,Masters,Texas Tech State University,,Yes,N/A s,First,Refused,451
Structural Engineering,PhD,Caltech,,Fully funded,N/A s,First,Refused,452
Exercise Science,Bachelors,Central Michigan University,Father,50%,,First,Refused,453
Entertainment Business,Masters,Full Sail University,Father,,N/A s,First,Refused,454
Biotechnology,Masters,Texas Tech University,Loan and waivers,,N/A s,First,Refused,455
Business Administration and Management,,Xyz Community College,Father,,,First,Refused,456
MBA,Masters,New York Institute of Technology,Father,,N/A s,First,Refused,457
Engineering Management,Masters,St. Cloud State University,Self and Father,,Brother s,First,Refused,458
Business Administration and Management,Bachelors,Troy University,Father,,None s,Second,Refused,459
Flight Training,,,Father and Cousin,,N/A s,Second,Refused,460
Information Technology,Bachelors,,Father,Yes,,Second,Refused,461
Business Analytics,Masters,University of Dallas,,,,Second,Refused,462
Data Analytics and Strategic Business Intelligence,,LIU,Brother,,N/A s,First,Refused,463
,,Miami University,,,,2nd,Refused,464
ECE,Bachelors,SIUE/Purdue Northwest,Father,8K/year (SIUE),Uncle s,Third,Refused,465
Computer Science,Bachelors,San Francisco State University,Father and Brother,"$5,000 ",N/A s,Second,Refused,466
,,,,,,Second,"Refused, then issued",467
Business Administration,Bachelors,,Uncle,,,First,Refused,468
Marketing,Bachelors,St. Louis University,Father,,,Second,Refused,469
MS in Information Technology,Masters,Gannon University,Father,,N/A s,Second,Refused,470
Computer Science,Masters,DePaul University,,,N/A s,Second,Refused,471
Electrical Engineering,,,Father,,,Second,Approved,472
Technology Management,Masters,,Parents,,,First,Refused,473
Food Technology and Processing,,Minnesota State University Mankato,Mother,,N/A s,First,Refused,474
Architecture,,Tacoma Community College,,,N/A s,First,Refused,475
Nutrition Psychology,,Illinois State University,,,,Second,,476
Business Analytics,Masters,Mercer University,Self,,,First,Refused,477
Industrial Engineering,Masters,University of Houston,Self and Father,,None s,First,Approved,478
Computer Science,Undergrad,University of Southern California,Family,Partial,Aunt,First,Approved,479
Mechanical Engineering,Bachelors,Eastern Michigan University,Father,,,First,Approved,480
PhD,PhD,University of California,,,,,,481
Nursing,Bachelors,Central Michigan University,Mother,Yes,No,First,Approved,482
Marketing Analytics,Masters,Pace,Father,,No,First,Approved,483
Computer Science,,USF,,Yes,,First,Approved,484
Computer Engineering,Masters,City University of New York,Aunt and Uncle,,Aunt and Uncle,First,Approved,485
,,,,Fully funded,,First,Approved,486
Mechanical Engineering,Masters,Southern Illinois University Edwardsville,Father,Yes,One brother,First,Approved,487
Graphic Designing,Masters,Mississippi College,Mother's friend,,Distant relatives s,First,Rejected,488
Business Analytics,Masters,,Father,,Yes s,First,Approved,489
Biotechnology,Masters,UTSA,Father,,Distant cousin s,First,Approved,490
,,,,,,Fourth,Refused,491
Computer Science,Masters,DePaul,Parents,,Two sisters,First,Approved,492
Construction Management,Masters,University of North Texas,Father,,"N/A
s","First
Visa Status",Approved,493
Data Science,Masters,,Self,,No s,Second,Approved,494
Business Administration,Bachelors,University of South Alabama,Father,,Sister s,Third,Approved,495
Physics,PhD,Oklahoma State University,,Fully funded,No s,Second,Approved,496
Environmental Science,PhD,,Father,University and Professor,N/A s,First,Approved,497
LLM,Masters,Illinois Institute of Technology,Father,Yes,,First,Approved,498
,,University of Kansas,Father,Yes,Yes,First,Approved,499
Public Informatics and Urban Planning,Masters,Rutgers University,Family,60%,Brothers,First,Approved,500
Nutrition and Dietetics,Bachelors,SEMO,Mother,,,First,Approved,501
Psychology,Bachelors,University of North Texas,Father,,No s,First,Approved,502
Curriculum and Instruction,PhD,Virginia Tech,,100% assistantship,,First,Approved,503
Project Management,Masters,Northeastern University,Father,,N/A s,Second,Approved,504
Physics,Bachelors,Saginaw Valley State University,Uncle,50%,Uncle,First,Approved,505
International Business,Bachelors,"University of Minnesota, Mankato",Father,$8k,Brother s,First,Approved,506
Bachelor of Agriculture,Bachelors,Southwest Minnesota State University,Father,,N/A s,Second,Approved,507
MAS Power Engineering,Masters,IIT Chicago,Father,,"2 brothers, 2 sisters",First,Approved,508
Energy Systems,Masters,Illinois Institute of Technology,Father,,N/A s,First,Approved,509
Information Systems,Masters,Cleveland State University,Mother,,No s,First,Approved,510
Business Administration,Bachelors,University of Utah,Father,Yes,,First,Rejected,511
MBA,Masters,Top 10 MBA school,Private loan,Yes,,First,Approved,512
Computer Science,Bachelors,University of Illinois at Chicago,Father,,No s,First,Approved,513
Business,Bachelors,California State University,Father,,N/A s,Third,Approved,514
Data Science,Masters,Stevens Institute of Technology,and Student Loan,Yes,No s,First,Approved,515
Biomedical Engineering,PhD,The Ohio State University,,Fully funded,,First,Approved,516
CS,MS,TU,and Student Loan,Yes,Yes,First,Approved,517
Computer Science,PhD,Stony Brook,Fully funded,Yes,,First,Approved,518
Business Analytics,Masters,University of Central Oklahoma,Father,Partial,Brother-in-law s,Second,Approved,519
Data Analytics,Masters,New Mexico State University,Father,,Brother s,First,Approved,520
,Masters,University of Cumberlands,Brother,,"Sisters and Brother
s",First,Approved,521
Chemistry,PhD,University of Tulsa,,Research Assistantship,,,,522
Public Health,Masters,,Parents,,Brother,First,Approved,523
LLM,Masters,,,Fully/Partially Funded,,,,524
Computer Science,Undergraduate,University of Connecticut,Father,Yes,N/A s,First,Approved,525
,,,Self,,"Spouse, Child",First,Approved,526
Master's,Master's,Not mentioned,xyz,,N/A s,First,Approved,527
Computer Science,Bachelors,The University of Southern Mississippi,Father,100%,N/A s,,,528
Civil Engineering,PhD,University of Kansas,,Yes,N/A s,First,Approved,529
Business Analytics,Masters,XYZ School,Self-finance and brother,Yes,Brother s,Second,Approved,530
Engineering,Masters,,,,N/A s,First,Approved,531
,,,,,,Second,221g,532
Agricultural and Applied Economics,Masters,University of Illinois Urbana Champaign,Professor (name not mentioned),Yes,,First,Approved,533
Electrical,Masters,University of Missouri Kansas City (UMKC),Father,,Maternal Uncle s,First,Approved,534
Business Administration,Bachelors,DePaul University,Cousin,,N/A s,First,Approved,535
MSBA,Masters,XYZ University,Father,Yes,,First,Approved,536
Computer Science,Bachelors,University of Illinois,Father,,N/A s,Third,Approved,537
Civil Engineering,Masters,Lamar University,Father,Yes,N/A s,First,Approved,538
MBA,Masters,,Self,,No s,First,Approved,539
Hospitality Management,Masters,Iowa State University,Mother,,,First,Approved,540
,,St. John's University,,,,,,541
Computer Science,Masters,DePaul,Parents,,N/A s,First,Approved,542
Project Management,Masters,Northeastern University,Friend,,,Second,Approved,543
Computer Science,Masters,City University of Seattle,Father,,,First,Refused,544
MSBA,Masters,University of Hartford,Father,"$4,000 ",No,First,Refused,545
Structural Engineering,PhD,Caltech,,Fully funded,,First,Refused,546
Business Administration,Bachelors,,Uncle,,N/A s,First,Refused,547
Information Technology,Masters,Gannon University,Father,,N/A s,Second,Refused,548
,,,,,"N/A
s",Third,Rejected,549
Management Sciences and Quantitative Methods,Masters,University of Wisconsin Milwaukee,Father,,No s,Third,Rejected,550
Computer Science,Bachelors,Wright State University,Mother,Yes,N/A s,First,Rejected,551
Computer Science,Masters,XYZ University,Brother,,No s,First,Rejected,552
Geology,Masters,California State University Fresno,Father,,N/A s,First,Rejected,553
Computer Science,Bachelors,Minnesota State University Mankato,Father,Yes,N/A s,First,Approved,554
,,,,,,Second,Rejected,555
Master of Engineering,Masters,Texas Tech University,Father,,N/A s,Third,Rejected,556
Computer Science,Masters,Westcliff University,Father,,N/A s,First,Rejected,557
CS,Masters,Florida State University,Brother,,Brother s,First,Rejected,558
Business Analytics,Masters,Hofstra,Parents,,N/A s,First,Rejected,559
Computer Science,Bachelors,Queens College CUNY,Father,,N/A s,First,Rejected,560
MSCS,Masters,UT Dallas,Father,,No s,First,Rejected,561
CS,Masters,Illinois Institute of Technology,Father,$10k,N/A s,2,Rejected,562
Civil Engineering,Ph.D.,George Mason University,Brother,Yes,,Second,Rejected,563
MBA,Masters,Adelphi University,Father,,N/A s,First,Rejected,564
,,,,,,Multiple,Rejections and Approvals,565
Management Sciences and Quantitative Methods,Masters,Wisconsin University,Father,,No s,Second,Rejected,566
CIS,Bachelors,Eastern Illinois University,Father,Partial,N/A s,First,Rejected,567
Business Administration and Management,Bachelors,Missouri State University,Father,,N/A s,Second,Rejected,568
Information Systems,Masters,Northeastern University,,,,Second,,569
Computer Science,,,Father,,Friend and cousin,Second,Rejected,570
,,Penn State University,,,,Second,,571
Business Analytics,Masters,DePaul University,Father,Yes,No s,Second,Rejected,572
Masters in Civil Engineering,Masters,Texas Tech,Father,no,"Elder brother, younger sister",Fourth,Refused,573
Masters in Civil Engineering,Masters,Adelphi University,Father,no,No,Fourth,Refused,574
Business Studies,Masters,Adelphi University,Father,no,No,Fourth,Refused,575
CS,Masters,University of Hartford,Father,No,Uncle,Fourth,Refused,576
